fight_date,bout_id,has_title,rounds_scheduled,star_rating,fight_city,fight_region,fight_country,fight_venue,f_a_name,f_a_age,f_a_stance,f_a_is_southpaw,f_a_is_home,f_a_total_fights,f_a_total_wins,f_a_opponents_koed,f_a_win_ratio,f_a_ko_ratio,f_a_stopped_rate,f_a_kod_rate,f_a_rtd_rate,f_a_opp_win_pct,f_a_amateur_bouts,f_a_amateur_win_pct,f_a_ring_rust,f_a_career_len,f_a_fights_per_year,f_a_weight_shift,f_a_win_streak,f_a_loss_streak,f_a_last_5_ko,f_a_last_5_won,f_a_last_5_lost,f_a_weighted_wins,f_a_weighted_kos,f_a_weight_kg,f_a_height_cm,f_a_reach_cm,f_b_name,f_b_age,f_b_stance,f_b_is_southpaw,f_b_is_home,f_b_total_fights,f_b_total_wins,f_b_opponents_koed,f_b_win_ratio,f_b_ko_ratio,f_b_stopped_rate,f_b_kod_rate,f_b_rtd_rate,f_b_opp_win_pct,f_b_amateur_bouts,f_b_amateur_win_pct,f_b_ring_rust,f_b_career_len,f_b_fights_per_year,f_b_weight_shift,f_b_win_streak,f_b_loss_streak,f_b_last_5_ko,f_b_last_5_won,f_b_last_5_lost,f_b_weighted_wins,f_b_weighted_kos,f_b_weight_kg,f_b_height_cm,f_b_reach_cm,is_rematch,f_a_prev_win_vs_opp,stance_matchup,fights_diff,weighted_win_diff,momentum_diff,opp_win_pct_diff,fights_per_year_diff,opponents_koed_diff,ko_rate_diff,stopped_rate_diff,age_diff,age_squared_diff,height_diff,reach_diff,f_a_country_adv,f_a_hometown_adv,f_b_country_adv,f_b_hometown_adv,hometown_adv_diff,raw_result,target_fighter_a_won,target_is_stoppage
2025-11-29,3464541,0,8,1,FRESNO,CALIFORNIA,USA,SAVE MART ARENA,D'ANGELO KEYES,29.0,O,0,1.0,24.0,18,11,0.75,0.458,0.125,0.042,0.083,0.519,8.0,0.75,238,8.42,2.85,2.3599999999999994,0,2,0,1,4,0.82,0.24,62.05,168.0,0.0,CHARLIE SHEEHY,27.0,O,0,1.0,11.0,11,6,1.0,0.545,0.0,0.0,0.0,0.7,59.0,0.627,252,4.12,2.67,0.44999999999999574,11,0,2,5,0,2.32,1.16,61.87,175.0,0.0,0,0,O vs O,13.0,-1.5,-11,-0.181,0.182,5,-0.087,0.125,2.0,4.0,-7.0,,1,0,1,0,0,L,0,1
2025-11-29,3474106,0,10,2,FRESNO,CALIFORNIA,USA,SAVE MART ARENA,JUSTIN PAULDO,31.0,O,0,1.0,22.0,19,9,0.864,0.409,0.0,0.0,0.0,0.684,3.0,0.333,98,11.46,1.92,0.17999999999999972,2,0,2,4,1,2.04,0.84,61.23,170.0,183.0,NIKE THERAN,28.0,O,0,0.0,21.0,20,14,0.952,0.667,0.0,0.0,0.0,0.398,0.0,0.0,154,8.96,2.34,0.7199999999999989,2,0,3,4,1,1.6,1.28,61.23,175.0,0.0,0,0,O vs O,1.0,0.44,0,0.287,-0.424,-5,-0.258,0.0,3.0,9.0,-5.0,,1,0,0,0,0,W,1,1
2025-11-29,3482239,1,10,2,VARADERO,,CUBA,HOTEL MELIA INTERNATIONAL,RAUL ANTONIO GALAVIZ HERNANDEZ,29.0,,0,0.0,20.0,15,9,0.75,0.45,0.05,0.05,0.0,0.506,0.0,0.0,99,12.34,1.62,0.8999999999999986,4,0,1,4,1,3.37,0.9,62.4,0.0,0.0,LAZARO ALVAREZ,34.0,,0,1.0,9.0,9,5,1.0,0.556,0.0,0.0,0.0,0.767,261.0,0.847,78,3.53,2.55,0.0,9,0,3,5,0,3.02,1.83,61.2,165.0,0.0,0,0,Unknown vs Unknown,11.0,0.35,-5,-0.261,-0.93,4,-0.106,0.05,-5.0,25.0,,,0,0,1,0,0,L,0,0
2025-11-29,3491526,0,8,1,BIRMINGHAM,WEST MIDLANDS,UNITED KINGDOM,BP PULSE LIVE ARENA,ZELFA BARRETT,32.0,O,0,1.0,36.0,33,18,0.917,0.5,0.028,0.028,0.0,0.325,1.0,0.0,140,11.1,3.24,-1.4100000000000037,2,0,2,4,1,2.55,1.16,61.87,170.0,173.0,LIAM DILLON,29.0,O,0,1.0,20.0,15,3,0.75,0.15,0.0,0.0,0.0,0.237,0.0,0.0,77,8.61,2.32,-0.4100000000000037,0,2,0,2,3,1.54,0.11,62.41,170.0,0.0,0,0,O vs O,16.0,1.01,2,0.088,0.92,15,0.35,0.028,3.0,9.0,0.0,,1,0,1,0,0,W,1,0
2025-11-27,3473864,0,8,0,,TOKYO,JAPAN,KORAKUEN HALL,KAI WATANABE,23.0,O,0,1.0,18.0,14,8,0.778,0.444,0.056,0.056,0.0,0.723,0.0,0.0,119,4.6,3.91,0.0,0,1,2,3,2,2.45,1.7,58.97,177.0,177.0,SURASAK CHUMKAEW,27.0,O,0,0.0,10.0,6,5,0.6,0.5,0.3,0.3,0.0,0.75,0.0,0.0,137,2.26,4.43,-5.200000000000003,2,0,3,3,2,2.87,2.6,58.0,170.0,175.0,0,0,O vs O,8.0,-0.42,-2,-0.027,-0.522,3,-0.056,-0.244,-4.0,16.0,7.0,2.0,1,0,0,0,0,W,1,1
2025-11-24,3499915,0,8,1,SAMUT PRAKAN,,THAILAND,"SAITHONG BOXING GYM, BANG PU",WIRA MIKHAM,28.0,O,0,1.0,21.0,19,12,0.905,0.571,0.095,0.095,0.0,0.674,0.0,0.0,59,3.6,5.83,-1.0,0,1,1,3,2,5.26,3.03,60.0,174.0,183.0,MANAT SOPATIP,27.0,O,0,1.0,15.0,11,6,0.733,0.4,0.2,0.2,0.0,0.585,0.0,0.0,435,3.44,4.36,59.9,0,1,0,2,3,1.63,0.73,59.9,171.0,0.0,1,1,O vs O,6.0,3.63,0,0.089,1.473,6,0.171,-0.105,1.0,1.0,3.0,,0,0,1,0,0,W,1,0
2025-11-22,3394268,1,12,4,RIYADH,,SAUDI ARABIA,ANB ARENA,SAM NOAKES,28.0,O,0,0.0,17.0,17,15,1.0,0.882,0.0,0.0,0.0,0.45,7.0,0.857,196,6.15,2.76,-2.990000000000009,17,0,3,5,0,3.15,2.31,61.19,173.0,0.0,ABDULLAH MASON,21.0,S,1,0.0,19.0,19,17,1.0,0.895,0.0,0.0,0.0,0.779,46.0,0.826,168,4.05,4.7,-0.22999999999999687,19,0,5,5,0,5.44,5.12,60.78,175.0,188.0,0,0,O vs S,-2.0,-2.29,-2,-0.329,-1.933,-2,-0.012,0.0,7.0,49.0,-2.0,,0,0,0,0,0,L,0,0
2025-11-22,3416221,0,6,0,HANOVER,MARYLAND,USA,MARYLAND LIVE CASINO,PATRICK OKINE,34.0,,0,0.0,33.0,22,19,0.667,0.576,0.212,0.182,0.03,0.583,0.0,0.0,224,18.88,1.75,0.480000000000004,1,0,1,1,4,0.9,0.9,63.78,165.0,0.0,AHMAD MUHAMMAD JONES,26.0,O,0,1.0,12.0,11,7,0.917,0.583,0.0,0.0,0.0,0.5,2.0,0.5,119,3.97,3.02,-0.4100000000000037,1,0,2,4,1,3.41,1.86,63.23,165.0,0.0,0,0,Unknown vs O,21.0,-2.51,0,0.083,-1.275,12,-0.008,0.212,8.0,64.0,0.0,,0,0,1,0,0,L,0,1
2025-11-22,3444069,1,12,2,BILBAO,PAÍS VASCO,SPAIN,PABELLÓN DE LA CASILLA,JON FERNANDEZ,30.0,O,0,1.0,30.0,27,22,0.9,0.733,0.033,0.033,0.0,0.71,1.0,0.0,161,10.66,2.81,-0.10000000000000142,4,0,2,4,1,1.76,0.7,63.4,178.0,173.0,ARMANDO CASAMONICA,25.0,O,0,0.0,16.0,15,3,0.938,0.188,0.0,0.0,0.0,0.502,3.0,1.0,176,4.93,3.25,63.45,1,0,1,4,1,2.79,0.47,63.45,168.0,0.0,0,0,O vs O,14.0,-1.03,3,0.207,-0.434,19,0.546,0.033,5.0,25.0,10.0,,1,1,0,0,1,W,1,1
2025-11-22,3461607,1,10,1,BILBAO,PAÍS VASCO,SPAIN,PABELLÓN DE LA CASILLA,JOKIN GARCIA,25.0,,0,1.0,15.0,12,7,0.8,0.467,0.0,0.0,0.0,0.446,1.0,0.0,155,4.39,3.42,-2.8200000000000003,1,0,1,3,1,3.17,1.15,61.23,0.0,0.0,ANTONIO COLLADO,26.0,,0,1.0,22.0,20,3,0.909,0.136,0.045,0.045,0.0,0.369,0.0,0.0,49,3.99,5.52,61.23,1,0,0,4,1,5.4,0.61,61.23,0.0,0.0,0,0,Unknown vs Unknown,-7.0,-2.22,0,0.077,-2.101,4,0.33,-0.045,-1.0,1.0,,,0,0,0,0,0,W,1,1
